 VARIABLES="X","Z","U","v","W","Pressure","Viscosity"
 ZONE T="Floor", I=         240  K=         120  F=POINT
   1.6666666666666666E-002   4.1666666666666666E-003  0.63461192783328979        8.3069379498722049E-002  -5.2866661320927263E-003  -1.6618797193628181        2.7909863049826625E-003
   5.0000000000000003E-002   4.1666666666666666E-003  0.62537792895751965        5.9774667956443733E-002  -8.5076217520020439E-003  -1.3601642864734269        2.7912231937218274E-003
   8.3333333333333329E-002   4.1666666666666666E-003  0.63758380501176526        3.9080655621003428E-002  -1.0648394851257858E-002 -0.91922717568182177        2.7916301956089577E-003
  0.11666666666666667        4.1666666666666666E-003  0.66867094479021283        2.6733672993248872E-002  -1.0712274173619548E-002 -0.37047161032717801        2.7922103072756249E-003
  0.14999999999999999        4.1666666666666666E-003  0.71219511904777666        2.3018395542966960E-002  -8.4088402289932279E-003  0.22556141394040113        2.7929203489947389E-003
  0.18333333333333332        4.1666666666666666E-003  0.76251118424707598        2.3136100658275573E-002  -4.3815171181197784E-003  0.78600905939270282        2.7936865243721317E-003
  0.21666666666666667        4.1666666666666666E-003  0.81796575224133750        2.1820634878182192E-002   2.8195571458580586E-004   1.2280098124123280        2.7944340751703848E-003
  0.25000000000000000        4.1666666666666666E-003  0.88017700462174098        1.9621454784209624E-002   4.5945400314383105E-003   1.5082802003533138        2.7951180408597614E-003
  0.28333333333333333        4.1666666666666666E-003  0.94855771401713296        2.3472090155363747E-002   8.5410286277619145E-003   1.6340450870988883        2.7957158679143613E-003
  0.31666666666666665        4.1666666666666666E-003   1.0156519312624730        3.8636070971143133E-002   1.2556489463909675E-002   1.6313124182461625        2.7961848534271442E-003
  0.34999999999999998        4.1666666666666666E-003   1.0723985841885368        6.1677231006918840E-002   1.5975166898187568E-002   1.5304388872503731        2.7964704754913487E-003
  0.38333333333333330        4.1666666666666666E-003   1.1176527469071393        8.3085157935081741E-002   1.7729686145831130E-002   1.3690648753523660        2.7965561179613169E-003
  0.41666666666666669        4.1666666666666666E-003   1.1581712057199782        9.4748488579974949E-002   1.7692286451579241E-002   1.1687909409222477        2.7964644364970722E-003
  0.45000000000000001        4.1666666666666666E-003   1.2016905696476652        9.4925962970891065E-002   1.6033415698064775E-002  0.92609833058386659        2.7962287838903766E-003
  0.48333333333333334        4.1666666666666666E-003   1.2527572371840243        8.7854445726559538E-002   1.2713229368535771E-002  0.64517535865244702        2.7958807041471652E-003
  0.51666666666666672        4.1666666666666666E-003   1.3090358712829575        7.8974105171304265E-002   8.2728396708656136E-003  0.34699264443284306        2.7954242015591456E-003
  0.55000000000000004        4.1666666666666666E-003   1.3578823499939126        6.9635111346747713E-002   3.8084887119560905E-003   4.6829539650965771E-002   2.7948166862230401E-003
  0.58333333333333337        4.1666666666666666E-003   1.3835799554564860        5.6564922352096182E-002  -4.6601059674383544E-004 -0.23333534804409503        2.7940114977888617E-003
  0.61666666666666670        4.1666666666666666E-003   1.3799058467992444        4.0190086480439799E-002  -5.0837096980114148E-003 -0.43067724794478407        2.7930129745974861E-003
  0.65000000000000002        4.1666666666666666E-003   1.3466659712888915        3.0900471066934661E-002  -9.1707052490218165E-003 -0.45765909831286233        2.7918696968229520E-003
  0.68333333333333335        4.1666666666666666E-003   1.2795614260254626        4.0476755106869669E-002  -1.1433393208536280E-002 -0.27674362159532112        2.7906386347408738E-003
  0.71666666666666667        4.1666666666666666E-003   1.1811181871137535        6.8288087788202265E-002  -1.2957988557505294E-002   6.2848924182838661E-002   2.7894020546024040E-003
  0.75000000000000000        4.1666666666666666E-003   1.0724167615323248        9.7597392675528583E-002  -1.3892555790970625E-002  0.46949192834642473        2.7883084198974334E-003
  0.78333333333333333        4.1666666666666666E-003  0.97548598412951748       0.10588187130286414       -9.7562571192005253E-003  0.85297928774288212        2.7875265743162471E-003
  0.81666666666666676        4.1666666666666666E-003  0.89581028345522640        8.3053713969480247E-002   2.2942305759329614E-003   1.1562682330887026        2.7871656040616660E-003
  0.85000000000000009        4.1666666666666666E-003  0.83510968506984673        3.9670099447931484E-002   1.6885165681350879E-002   1.3908060380025551        2.7872693218723510E-003
  0.88333333333333341        4.1666666666666666E-003  0.80819594831941477       -1.8899259201975507E-003   2.5937305699225959E-002   1.5942800401390587        2.7878196841262608E-003
  0.91666666666666674        4.1666666666666666E-003  0.83486243442900299       -1.9930582505824607E-002   2.7163335249743244E-002   1.7582968858100945        2.7887076322640784E-003
  0.95000000000000007        4.1666666666666666E-003  0.92186921982424441       -4.4944368870907941E-003   2.3451919729507571E-002   1.8584582999390378        2.7897519285175094E-003
  0.98333333333333339        4.1666666666666666E-003   1.0626484691967881        3.6504654129892462E-002   1.7002269638340391E-002   1.9233169513328903        2.7907869606954481E-003
   1.0166666666666666        4.1666666666666666E-003   1.2490158440104087        8.6290376259053267E-002   7.3975457610337319E-003   2.0114143867296637        2.7917150522039375E-003
   1.0499999999999998        4.1666666666666666E-003   1.4735712419074325       0.13500836357105506       -7.4024393728162764E-003   2.1258565371398199        2.7924812800367402E-003
   1.0833333333333333        4.1666666666666666E-003   1.7249019590478825       0.18303476637266289       -2.9417221460347399E-002   2.2194338419893085        2.7930377495477415E-003
   1.1166666666666667        4.1666666666666666E-003   1.9752833671722279       0.23290676299291180       -5.3060758933991585E-002   2.2757393572069882        2.7932845963548709E-003
   1.1499999999999999        4.1666666666666666E-003   2.1672863041517920       0.28207644491823375       -6.7586588186321850E-002   2.3147806847627139        2.7930205601240186E-003
   1.1833333333333333        4.1666666666666666E-003   2.2385846811841952       0.31681344402284911       -7.3525309307665668E-002   2.3534701818562698        2.7921560043200695E-003
   1.2166666666666666        4.1666666666666666E-003   2.1606703951234758       0.30226850544986172       -7.3094909026245797E-002   2.3743498241965781        2.7909908169774420E-003
   1.2500000000000000        4.1666666666666666E-003   1.9530502331180588       0.19893849676843478       -6.0512761606591949E-002   2.3286270755743064        2.7900005406338094E-003
   1.2833333333333332        4.1666666666666666E-003   1.6880562780753152        2.1381012361378376E-002  -3.8482479473937369E-002   2.2087693575047287        2.7894083287050325E-003
   1.3166666666666667        4.1666666666666666E-003   1.4503916380167334      -0.15773872939358530       -1.7900730651949560E-002   2.0745795110143366        2.7891330804594963E-003
   1.3499999999999999        4.1666666666666666E-003   1.2830025204566347      -0.27703890362910744       -9.4093127182692110E-003   2.0342717683691514        2.7890446993935614E-003
