 VARIABLES="X","Z","U","v","W","Pressure","Viscosity"
 ZONE T="Floor", I=         240  K=         120  F=POINT
   1.6666666666666666E-002   4.1666666666666666E-003  0.33472035871834194        3.5088248081843701E-002   6.2432649272000200E-003 -0.51348531966272992        2.7810971914437924E-003
   5.0000000000000003E-002   4.1666666666666666E-003  0.32809605884621468        3.0596158818791235E-002   5.8912227569500085E-003 -0.53929625467259301        2.7809742374546192E-003
   8.3333333333333329E-002   4.1666666666666666E-003  0.32111197308670902        2.5452092679700937E-002   5.3655508575783514E-003 -0.52794582922694322        2.7808823290489835E-003
  0.11666666666666667        4.1666666666666666E-003  0.31391780216730525        1.9868981506496599E-002   4.6534513473271187E-003 -0.47954623877989078        2.7808390444169972E-003
  0.14999999999999999        4.1666666666666666E-003  0.30665040091126122        1.4044733847616918E-002   3.7573795765085830E-003 -0.39874690592657114        2.7808587381850242E-003
  0.18333333333333332        4.1666666666666666E-003  0.29945955375944200        8.1207224352232554E-003   2.7012481945868040E-003 -0.29446921067771903        2.7809503084322710E-003
  0.21666666666666667        4.1666666666666666E-003  0.29257018513971000        2.1292203053927062E-003   1.5348120731990497E-003 -0.17851178869108006        2.7811164105764814E-003
  0.25000000000000000        4.1666666666666666E-003  0.28633426509453164       -4.0312955155153429E-003   3.3809977609072653E-004  -6.3442746639017278E-002   2.7813540410111452E-003
  0.28333333333333333        4.1666666666666666E-003  0.28121049383853236       -1.0556993065276507E-002  -7.7700518873245251E-004   3.9410439621131436E-002   2.7816556379971890E-003
  0.31666666666666665        4.1666666666666666E-003  0.27765790645285893       -1.7626881774409194E-002  -1.6781781637051924E-003  0.12128876309588260        2.7820100302898836E-003
  0.34999999999999998        4.1666666666666666E-003  0.27601520696980886       -2.5258064358383202E-002  -2.2462822996837254E-003  0.17678976524650541        2.7824035413132903E-003
  0.38333333333333330        4.1666666666666666E-003  0.27647286588677922       -3.3219548519683124E-002  -2.4228693052576696E-003  0.20461035285961304        2.7828219788575961E-003
  0.41666666666666669        4.1666666666666666E-003  0.27916153098077090       -4.1093563583615156E-002  -2.2406493809741666E-003  0.20798814315719200        2.7832531237152809E-003
  0.45000000000000001        4.1666666666666666E-003  0.28424758916837412       -4.8470026547184145E-002  -1.8085032288005414E-003  0.19368245747094293        2.7836879569511767E-003
  0.48333333333333334        4.1666666666666666E-003  0.29190952777430940       -5.5140043284900866E-002  -1.2581231230482945E-003  0.16922205670532187        2.7841196619318642E-003
  0.51666666666666672        4.1666666666666666E-003  0.30219018809611975       -6.1172970715622457E-002  -6.8993437996105428E-004  0.14002093642449659        2.7845416585466779E-003
  0.55000000000000004        4.1666666666666666E-003  0.31481267830047971       -6.6879481855010345E-002  -1.4821415997962387E-004  0.10774014651838014        2.7849461140602534E-003
  0.58333333333333337        4.1666666666666666E-003  0.32904131920945667       -7.2692773152024104E-002   3.6930674910267769E-004   6.9606432950518091E-002   2.7853228542605284E-003
  0.61666666666666670        4.1666666666666666E-003  0.34367930167012883       -7.8965949136863778E-002   8.7300340920066133E-004   1.8792085270145018E-002   2.7856589401911401E-003
  0.65000000000000002        4.1666666666666666E-003  0.35732179324664393       -8.5760442258731001E-002   1.3298733305069429E-003  -5.2563944242703546E-002   2.7859405977607408E-003
  0.68333333333333335        4.1666666666666666E-003  0.36884350784360265       -9.2815528716683721E-002   1.6390270887997552E-003 -0.14787769646944368        2.7861577133293214E-003
  0.71666666666666667        4.1666666666666666E-003  0.37781713818051443       -9.9789545049996986E-002   1.6727554202651065E-003 -0.26270450970540626        2.7863076365000614E-003
  0.75000000000000000        4.1666666666666666E-003  0.38452818028153968      -0.10657024450407238        1.3577368262836847E-003 -0.38764855742616910        2.7863952538808288E-003
  0.78333333333333333        4.1666666666666666E-003  0.38965028790909295      -0.11336278216103368        7.2081186024972098E-004 -0.51450588206139602        2.7864313224424666E-003
  0.81666666666666676        4.1666666666666666E-003  0.39395764848349618      -0.12056654790302519       -1.2533578859305643E-004 -0.63912504186944918        2.7864329705939044E-003
  0.85000000000000009        4.1666666666666666E-003  0.39825681817401160      -0.12865928747733649       -1.0116958733248020E-003 -0.76080099925902023        2.7864253745864685E-003
  0.88333333333333341        4.1666666666666666E-003  0.40341160667581177      -0.13812035474356521       -1.7221704196455313E-003 -0.88215262621507318        2.7864402556995174E-003
  0.91666666666666674        4.1666666666666666E-003  0.41034495573649354      -0.14922420039402196       -1.9900610789509794E-003  -1.0103167307127510        2.7865101766904187E-003
