 VARIABLES="Z ","Z_PLUS","U_STAV ","U_RMS ","V_RMS ","W_RMS ","T_REY"
 ZONE T="Floor", I=         240  J=         140  K=         120  F=POINT
   4.1666666666666666E-003   1.4905986552495147        1.3613193679609341       0.50394463122942057       0.17685822031603476        1.7429118794952597E-002   3.1808303899948757E-003
   1.2500000000000001E-002   4.3025884492783106        3.9783974496792092        1.4438853059074583       0.40777583465287226        6.6722810261117052E-002   4.2577122700278081E-002
   2.0833333333333332E-002   6.8388878964768267        6.2585463980349596        2.1110222094551743       0.55299532364085979       0.13509349771685653       0.13959823831533394     
   2.9166666666666667E-002   9.2229534601902383        8.1131646687266166        2.4883932456738540       0.65341468977517925       0.20782148664981193       0.26228841425850391     
   3.7499999999999999E-002   11.573058265945832        9.5728609256328525        2.6632587745948095       0.72816726076655724       0.27906541828267795       0.37800157260292794     
   4.5833333333333330E-002   13.935804140578282        10.713114717901016        2.7162348398055909       0.78531502900262151       0.34637337862540640       0.47266342823549296     
   5.4166666666666669E-002   16.316173247573186        11.609395219809855        2.6998065228528620       0.82930086741729114       0.40859331464546311       0.54446270690956522     
   6.2500000000000000E-002   18.706763574941526        12.323086729021675        2.6450973215884277       0.86330635646951015       0.46514890419710891       0.59650019621022143     
   7.0833333333333331E-002   21.101027330445081        12.900408081395467        2.5702370808535906       0.88979216664640337       0.51580726011229783       0.63293622029318442     
   7.9166666666666663E-002   23.496170170617713        13.375175199057576        2.4858244876389755       0.91051827973470034       0.56062550296622049       0.65741264366027097     
   8.7499999999999994E-002   25.891783304989918        13.772054742249860        2.3981278665435579       0.92672797936619411       0.59985080283511294       0.67278340753077914     
   9.5833333333333326E-002   28.289672003305650        14.109178197116703        2.3108877326849986       0.93936782176897371       0.63381709948327203       0.68119868498284952     
  0.10416666666666667        30.692588777880299        14.399977766626709        2.2262539888036903       0.94910450517678180       0.66290759535257793       0.68428697437705222     
  0.11250000000000000        33.103273990542128        14.654445345486668        2.1454117735149008       0.95637797760202203       0.68752658455331350       0.68330183422120749     
  0.12083333333333333        35.524254785170790        14.880067637612411        2.0689864775663338       0.96148234095526086       0.70807543704405551       0.67919056389210231     
  0.12916666666666668        37.958112087597684        15.082547009309495        1.9971783749053169       0.96464636988491070       0.72494542312971100       0.67263610947840979     
  0.13750000000000001        40.406966048121504        15.266297562679819        1.9299029619928478       0.96605984235685860       0.73851424874007066       0.66412334899236736     
  0.14583333333333334        42.872474150904090        15.434761432711745        1.8670180928910576       0.96584834222007121       0.74914083073149340       0.65403419853384159     
  0.15416666666666667        45.356580538026726        15.590621352329391        1.8083915133557094       0.96410948290140164       0.75715895879053075       0.64270294873980560     
  0.16250000000000001        47.861185742724828        15.735939607562136        1.7538902544393331       0.96096510974239080       0.76287375688548575       0.63039664376968829     
