 VARIABLES="X","Y","U","V","W","Pressure","Viscosity"
 ZONE T="Floor", I=         240  J=         140  F=POINT
   1.6666666666666666E-002   1.4285714285714285E-002   11.270524761394014       0.86951444565998948       0.23605782663221769      -0.65692664091299602        3.2350699613645255E-003
   5.0000000000000003E-002   1.4285714285714285E-002   11.213054798503201       0.85373527636026836       -4.9167646011324097E-002 -0.81939851244619422        3.2508529737276508E-003
   8.3333333333333329E-002   1.4285714285714285E-002   11.275587478150388       0.70580401630853395      -0.28706792573205442      -0.93324115834160914        3.2660059724681223E-003
  0.11666666666666667        1.4285714285714285E-002   11.390790944043525       0.44971683445491983      -0.45416448152033462      -0.95741592336495596        3.2720601040788127E-003
  0.14999999999999999        1.4285714285714285E-002   11.507032579126660       0.16905056220056913      -0.54959665644694189      -0.88743072790919930        3.2429711068735268E-003
  0.18333333333333332        1.4285714285714285E-002   11.616303182448988       -4.0930249768331796E-002 -0.58240305497739753      -0.74222291852310229        3.1717898244905765E-003
  0.21666666666666667        1.4285714285714285E-002   11.756357969073063      -0.12972761892959933      -0.56580093789933061      -0.50802250126697990        3.1393653147077441E-003
  0.25000000000000000        1.4285714285714285E-002   11.981617197750950      -0.11373367426417318      -0.52645742565310150      -0.15560472182816862        3.2510171224366868E-003
  0.28333333333333333        1.4285714285714285E-002   12.313906187911130       -5.2134753316558771E-002 -0.48368291271758523       0.22885921325719660        3.3905057210059154E-003
  0.31666666666666665        1.4285714285714285E-002   12.707423796570016       -5.1090508933564829E-003 -0.42055226420681957       0.47141622986929888        3.4490264996959331E-003
  0.34999999999999998        1.4285714285714285E-002   13.065815520362557       -8.5711729752283444E-003 -0.30439091795277323       0.54510670140562678        3.4467731400278723E-003
  0.38333333333333330        1.4285714285714285E-002   13.310284737149383       -6.4148805236924469E-002 -0.14212482737815429       0.60621996017827451        3.4618865643106594E-003
  0.41666666666666669        1.4285714285714285E-002   13.454966405236110      -0.12891793481783764        8.5205407242239361E-003  0.73656412720122577        3.4947750205602535E-003
  0.45000000000000001        1.4285714285714285E-002   13.616167476083946      -0.13641156326193016       0.10629567640337914       0.84075698175479174        3.4902281786438985E-003
  0.48333333333333334        1.4285714285714285E-002   13.910696091287102       -8.0697362900588890E-002  0.19507515889812421       0.81138913790521228        3.4523462493753604E-003
  0.51666666666666672        1.4285714285714285E-002   14.318831024662554       -7.5265868665386079E-002  0.36652980494339271       0.62175827599932232        3.3598809182050103E-003
  0.55000000000000004        1.4285714285714285E-002   14.663301541676439      -0.25323203819629264       0.64100369705918703       0.44878159723472688        3.1958343030387150E-003
  0.58333333333333337        1.4285714285714285E-002   14.759955181237398      -0.54339417297653514       0.92637917257782665       0.55907879229459845        3.0661228354351140E-003
  0.61666666666666670        1.4285714285714285E-002   14.597481313403510      -0.63018274184396450        1.1105507743631735       0.86609665506509581        3.1296721111210902E-003
  0.65000000000000002        1.4285714285714285E-002   14.336550977278851      -0.30994288930125652        1.1991012449292560        1.0699045022441402        3.2378833649895932E-003
  0.68333333333333335        1.4285714285714285E-002   14.130786751934284       0.17601377079064101        1.3270402499212559        1.0644105565550097        3.2159885008100088E-003
  0.71666666666666667        1.4285714285714285E-002   13.987213182593951       0.35966198103529146        1.5386765525527129       0.95628850926671705        3.0364918665128585E-003
  0.75000000000000000        1.4285714285714285E-002   13.808954115417933        7.1394060034681406E-002   1.6625402729133403       0.99994148830085949        2.9945091947612555E-003
  0.78333333333333333        1.4285714285714285E-002   13.544447590152110      -0.35148529418016261        1.5162075876722181        1.2645531069212621        3.3220538436671654E-003
  0.81666666666666676        1.4285714285714285E-002   13.256072246598242      -0.38540241261480945        1.1642424417760189        1.3841171329612720        3.4254244521506536E-003
  0.85000000000000009        1.4285714285714285E-002   13.059221732139953       0.18753103720370778       0.94326819307547427        1.1379899633138346        3.2738511200067605E-003
  0.88333333333333341        1.4285714285714285E-002   13.067430645331052        1.1187765852063276        1.0910815481666543       0.98249362791480488        3.1907386378830704E-003
  0.91666666666666674        1.4285714285714285E-002   13.353844731867802        1.8993550168266227        1.4036049580339158        1.2522213163661227        3.1682365400914686E-003
  0.95000000000000007        1.4285714285714285E-002   13.867377482626443        2.1397592601243649        1.5258690585237304        1.3681808695130788        3.2720223819621081E-003
  0.98333333333333339        1.4285714285714285E-002   14.438241624057548        1.8648277174642756        1.3555755681486255       0.84774170981340213        3.3930794153776023E-003
   1.0166666666666666        1.4285714285714285E-002   14.924551727433776        1.3770634103405790        1.0073712155374637        4.5400442174105451E-002   3.3828657828272246E-003
   1.0499999999999998        1.4285714285714285E-002   15.287538543764773       0.92591941925498822       0.62437713923369464      -0.57010216633485900        3.3311110506202540E-003
   1.0833333333333333        1.4285714285714285E-002   15.513834539872208       0.61032235411987790       0.30394933882249958      -0.86912763579513541        3.2919783382804324E-003
   1.1166666666666667        1.4285714285714285E-002   15.563768484366182       0.44949384009525695        7.7097708452578934E-002 -0.89436177682306606        3.2098440129919971E-003
